,0
0,37
1,35
2,24
3,22
4,27
5,22
6,26
7,44
8,29
9,24
10,21
11,22
12,21
13,23
14,24
15,28
16,20
17,25
18,23
19,32
20,22
21,17
22,26
23,53
24,26
25,30
26,26
27,25
28,24
29,28
30,22
31,30
32,29
33,31
34,25
35,25
36,22
37,22
38,24
39,25
40,31
41,24
42,25
43,23
44,28
45,28
46,27
47,26
48,22
49,25
50,23
51,21
52,21
53,26
54,22
55,27
56,28
57,21
58,21
59,27
60,23
61,29
62,21
63,42
64,25
65,32
66,23
67,24
68,30
69,26
70,23
71,28
72,24
73,24
74,22
75,26
76,20
77,24
78,23
79,40
80,35
81,23
82,22
83,24
84,24
85,22
86,27
87,26
88,23
89,29
90,35
91,27
92,34
93,32
94,30
95,29
96,27
97,27
98,31
99,18
100,24
101,23
102,33
103,22
104,25
105,35
106,23
107,28
108,26
109,24
110,26
111,26
112,27
113,27
114,25
115,27
116,38
117,26
118,25
119,25
120,25
121,24
122,27
123,22
124,21
125,26
126,21
127,24
128,26
129,22
130,26
131,26
132,23
133,22
134,24
135,21
136,23
137,25
138,22
