,0
0,33
1,62
2,23
3,23
4,27
5,31
6,19
7,22
8,25
9,22
10,24
11,26
12,25
13,31
14,24
15,30
16,30
17,20
18,22
19,28
20,22
21,23
22,28
23,26
24,24
25,19
26,28
27,24
28,26
29,28
30,28
31,26
32,28
33,22
34,27
35,27
36,24
37,26
38,26
39,26
40,25
41,26
42,27
43,23
44,25
45,22
46,24
47,22
48,21
49,21
50,23
51,22
52,20
53,26
54,23
55,23
56,22
57,21
58,25
59,27
60,24
61,25
62,21
63,21
64,24
65,24
66,28
67,21
68,27
69,23
70,23
71,26
72,27
73,28
74,27
75,31
76,29
77,32
78,28
79,39
80,38
81,30
82,42
83,29
84,29
85,30
86,21
87,26
88,22
89,31
90,22
91,28
92,29
93,26
94,23
95,24
96,30
97,42
98,27
99,29
100,61
101,29
102,26
103,39
104,28
105,24
106,23
107,22
108,21
109,24
110,29
111,24
112,25
113,23
114,27
115,21
116,26
117,24
118,31
119,22
120,24
121,27
122,24
123,24
124,27
125,22
126,32
127,25
128,21
129,26
130,23
131,23
132,25
133,26
134,22
135,31
