,0
0,31
1,33
2,27
3,23
4,25
5,22
6,22
7,24
8,32
9,20
10,38
11,27
12,24
13,31
14,25
15,23
16,23
17,27
18,25
19,22
20,36
21,25
22,32
23,31
24,28
25,25
26,25
27,22
28,23
29,25
30,22
31,23
32,28
33,23
34,25
35,32
36,29
37,27
38,23
39,21
40,30
41,21
42,22
43,26
44,25
45,26
46,34
47,23
48,23
49,22
50,22
51,28
52,23
53,21
54,20
55,24
56,22
57,27
58,23
59,21
60,21
61,21
62,25
63,21
64,22
65,24
66,21
67,25
68,19
69,23
70,30
71,27
72,28
73,26
74,28
75,33
76,25
77,22
78,30
79,22
80,28
81,24
82,21
83,20
84,28
85,29
86,58
87,37
88,26
89,24
90,36
91,36
92,21
93,26
94,25
95,26
96,30
97,27
98,23
99,25
100,23
101,25
102,20
103,23
104,25
105,35
106,29
107,27
108,22
109,23
110,26
111,27
112,22
113,35
114,37
115,36
