,IMO,LENGTH ,BREATH,DEPTH,DRAUGHT,TEU,LLINO
0,8579045,100.0,16.0,,4.5,,10000623
1,9499228,83.0,,7.3,6,,10001450
2,9567661,316.0,,25.0,14.54,8110.0,10010420
3,9567673,316.0,,25.0,14.54,8540.0,10010422
4,—,25.0,6.0,,2.8,,10012645
5,9562051,119.9,,7.2,5.2,537.0,10015932
6,9562063,119.9,,7.2,5.2,537.0,10015933
7,9569970,299.92,,24.6,13.5,8004.0,10041418
8,9573505,149.46,25.0,11.2,8.9,1104.0,10070481
9,9574016,149.46,25.0,11.2,8.9,1104.0,10074165
10,9565338,227.5,32.32,20.3,12.5,3405.0,10094717
11,9565340,228.2,32.32,20.3,12.5,3405.0,10094755
12,7622118,132.11,20.05,10.52,7.01,392.0,101474
13,9492505,151.72,,9.5,8,1036.0,10254360
14,9584475,151.74,,11.75,8,1036.0,10254361
15,9584487,151.74,23.4,11.75,8,1036.0,10254362
16,9584865,151.72,23.4,9.5,8,1036.0,10254363
17,9571313,212.51,32.24,20.3,12.5,2758.0,10333893
18,9571325,211.56,32.2,20.3,12.5,2758.0,10333936
19,9571296,212.54,32.2,20.3,12.5,2758.0,10333937
20,9571301,212.51,32.2,20.7,12.5,2758.0,10333938
21,9593517,175.43,,14.3,10.9,1740.0,10459455
22,9595462,334.98,45.79,24.6,14.19,8452.0,10519380
23,9595527,334.8,46.0,24.6,14.22,8452.0,10519381
24,9595486,334.98,46.0,24.6,14.2,8452.0,10519382
25,9595436,334.98,45.79,24.6,14.5,8452.0,10519383
26,9595450,334.8,45.79,24.6,14.19,8452.0,10519461
27,9595448,334.98,45.79,20.99,14.23,8452.0,10519462
28,9595503,334.98,,25.0,13.5,8000.0,10519463
29,9595515,334.98,,25.0,13.5,8000.0,10519464
30,9595474,334.98,46.0,25.0,13.5,8452.0,10519465
31,9595498,334.98,,25.0,13.5,8452.0,10519466
32,9593696,179.7,,15.9,9,1810.0,10519470
33,9596349,144.1,22.5,11.2,7.3,1000.0,10524774
34,9597472,328.2,,27.1,13,9200.0,10524775
35,9597484,328.2,45.2,27.1,13,9200.0,10524776
36,9597496,328.2,,27.1,13,9200.0,10524860
37,9597501,328.2,,27.1,13,9200.0,10524861
38,9596789,144.1,22.5,11.2,7.3,1040.0,10524863
39,9596301,176.81,27.4,14.3,10.9,1740.0,10524952
40,9596313,176.88,27.68,14.3,10.9,1740.0,10524953
41,9595797,146.0,,11.2,8.22,1060.0,10525023
42,9595802,146.0,,11.2,8.22,1060.0,10525024
43,9597513,328.2,,27.1,13,9200.0,10526173
44,9597525,328.2,,27.1,13,9200.0,10526176
45,9597537,328.2,,27.1,13,9200.0,10526241
46,9597549,328.2,,27.1,13,9200.0,10526246
47,9597551,328.2,,27.1,13,9200.0,10526346
48,9597563,328.2,,27.1,13,9200.0,10526348
49,9601302,347.4,45.21,29.7,15.5,10700.0,10526437
50,9601314,347.29,45.2,29.7,15.5,10700.0,10526438
51,9600542,108.0,,8.0,4.8,200.0,10530109
52,9600554,108.0,,8.0,4.8,200.0,10530111
53,9600566,108.0,,8.0,7,200.0,10530113
54,9603611,208.89,29.85,16.4,11.6,2546.0,10567782
55,9603594,208.9,30.0,16.4,11.6,2546.0,10567909
56,9603609,208.93,29.85,16.4,11.6,2546.0,10567910
57,9602875,227.97,37.3,19.6,12.5,3800.0,10569173
58,9603221,227.97,37.0,19.6,12.5,3800.0,10569174
59,9603219,227.97,,19.6,12.5,3800.0,10569181
60,9603233,227.97,37.29,19.6,12.5,3800.0,10569183
61,9604081,334.98,45.79,20.99,14.23,8452.0,10599039
62,9604093,334.98,,25.0,13.5,8000.0,10599042
63,9604108,334.98,45.79,24.6,14.22,8452.0,10599044
64,9604134,334.98,,24.6,13.5,8000.0,10599045
65,9604158,334.98,,20.99,14.23,8452.0,10599047
66,9604122,334.98,,20.99,14.23,8452.0,10599048
67,9604172,334.98,,20.99,14.23,8452.0,10599050
68,9604160,334.8,,24.6,14.2,8452.0,10599051
69,9604146,334.98,45.79,24.6,14.2,8452.0,10599054
70,9604110,334.98,,24.6,13.5,8000.0,10599169
71,9605255,299.87,,24.8,14.5,9403.0,10605294
72,9605231,299.88,,24.8,14.5,9403.0,10605295
73,9605152,299.88,48.2,24.8,14.5,9403.0,10605296
74,9605267,299.84,,24.8,14.5,9403.0,10605297
75,9605279,299.91,,24.8,14.5,9403.0,10605298
76,9605243,299.92,48.2,24.8,14.5,9403.0,10605300
77,9588079,334.55,,24.4,14.04,8930.0,10620183
78,9588081,334.55,,24.4,14.04,8930.0,10620254
79,9588093,334.55,45.59,24.4,14.04,8974.0,10620259
80,—,50.0,13.0,,2.8,,10641340
81,9457622,259.0,,19.4,12.84,4532.0,1068043
82,9610547,143.9,22.63,11.23,7.4,1040.0,10682304
83,9610559,143.9,22.63,11.23,7.4,1040.0,10682305
84,9610535,142.7,,11.2,7.4,953.0,10682306
85,9606302,399.0,,29.9,16.02,16000.0,10682478
86,9606338,399.0,54.0,29.9,16.02,15908.0,10682479
87,9606326,399.0,54.0,29.9,16.03,15908.0,10682538
88,9606314,399.0,54.0,29.9,16.02,15908.0,10682539
89,9457634,259.0,38.2,19.4,12.8,4500.0,1068471
90,9457646,259.0,,19.4,12.84,4532.0,1068569
91,9457658,259.0,,19.4,12.8,4680.0,1068570
92,9457660,259.0,,19.4,12.8,4532.0,1068571
93,9610157,227.96,,19.3,12.5,3832.0,10686391
94,9610169,227.97,,19.3,12.5,3832.0,10686392
95,9459101,146.3,22.6,11.2,8.22,1049.0,1068641
96,9459125,146.3,22.6,11.2,8.22,1049.0,1068643
97,9462017,347.05,45.6,29.7,15.5,10700.0,1068648
